sample_order,paper_id,year,problem,source_page,packet_page_role,source_path,source_sha256,formal_artifact_path,formal_artifact_sha256,formal_excerpt_path,visual_packet_path,current_machine_classification,source_visual_classification,reviewer_comment,review_status
15,CUMCM-2008-A-002,2008,A,14,B,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：数码相机定位 (2).pdf,71D2F1578C19C361500DAEC8DF01DE19BA5BE94F862199D53FFA13228DB71637,derived/scale/papers/CUMCM-2008-A-002/paper.md,91909AF98ACD1C70122CAFB384AB8E68F927C0A2D3D0A97B3203A72B01315F36,reports/scale/g11_targeted_visual_diagnostic/15_CUMCM-2008-A-002/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/15_CUMCM-2008-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
15,CUMCM-2008-A-002,2008,A,27,C,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：数码相机定位 (2).pdf,71D2F1578C19C361500DAEC8DF01DE19BA5BE94F862199D53FFA13228DB71637,derived/scale/papers/CUMCM-2008-A-002/paper.md,91909AF98ACD1C70122CAFB384AB8E68F927C0A2D3D0A97B3203A72B01315F36,reports/scale/g11_targeted_visual_diagnostic/15_CUMCM-2008-A-002/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/15_CUMCM-2008-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
16,CUMCM-2009-A-001,2009,A,1,A,2009年数学建模国赛真题+优秀论文/2009年优秀论文/2009A：制动器试验台的控制方法分析.pdf,310B218EA9B95B2B8F1596866705FB6415222D00E941765151A7F72372AC0B38,derived/scale/papers/CUMCM-2009-A-001/paper.md,423134DFB9C28BE94131469DE903502B83FA4E46EF32803069457656C5762736,reports/scale/g11_targeted_visual_diagnostic/16_CUMCM-2009-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/16_CUMCM-2009-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
16,CUMCM-2009-A-001,2009,A,10,B,2009年数学建模国赛真题+优秀论文/2009年优秀论文/2009A：制动器试验台的控制方法分析.pdf,310B218EA9B95B2B8F1596866705FB6415222D00E941765151A7F72372AC0B38,derived/scale/papers/CUMCM-2009-A-001/paper.md,423134DFB9C28BE94131469DE903502B83FA4E46EF32803069457656C5762736,reports/scale/g11_targeted_visual_diagnostic/16_CUMCM-2009-A-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/16_CUMCM-2009-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
16,CUMCM-2009-A-001,2009,A,20,C,2009年数学建模国赛真题+优秀论文/2009年优秀论文/2009A：制动器试验台的控制方法分析.pdf,310B218EA9B95B2B8F1596866705FB6415222D00E941765151A7F72372AC0B38,derived/scale/papers/CUMCM-2009-A-001/paper.md,423134DFB9C28BE94131469DE903502B83FA4E46EF32803069457656C5762736,reports/scale/g11_targeted_visual_diagnostic/16_CUMCM-2009-A-001/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/16_CUMCM-2009-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
17,CUMCM-2010-A-003,2010,A,1,A,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：倾斜卧式储油罐油量标定的实用方法.pdf,88C6C782ABD276280B59807B2108D4BECD2C6B25D1F3E861F44B8047635C81C1,derived/scale/papers/CUMCM-2010-A-003/paper.md,528665FD4EB22D20ECA8272AA7A39F94E769443BDB96781AD6FB7BD18781021D,reports/scale/g11_targeted_visual_diagnostic/17_CUMCM-2010-A-003/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/17_CUMCM-2010-A-003/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
17,CUMCM-2010-A-003,2010,A,11,B,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：倾斜卧式储油罐油量标定的实用方法.pdf,88C6C782ABD276280B59807B2108D4BECD2C6B25D1F3E861F44B8047635C81C1,derived/scale/papers/CUMCM-2010-A-003/paper.md,528665FD4EB22D20ECA8272AA7A39F94E769443BDB96781AD6FB7BD18781021D,reports/scale/g11_targeted_visual_diagnostic/17_CUMCM-2010-A-003/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/17_CUMCM-2010-A-003/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
17,CUMCM-2010-A-003,2010,A,21,C,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：倾斜卧式储油罐油量标定的实用方法.pdf,88C6C782ABD276280B59807B2108D4BECD2C6B25D1F3E861F44B8047635C81C1,derived/scale/papers/CUMCM-2010-A-003/paper.md,528665FD4EB22D20ECA8272AA7A39F94E769443BDB96781AD6FB7BD18781021D,reports/scale/g11_targeted_visual_diagnostic/17_CUMCM-2010-A-003/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/17_CUMCM-2010-A-003/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
18,CUMCM-2011-A-001,2011,A,13,A,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（7）.pdf,3D58DB4E99A3E3202142EB77E537132421D37B81F6636360331B0A7D19E17F0E,derived/scale/papers/CUMCM-2011-A-001/paper.md,7CBE95CD215BF4DBF1145D77C8F5E68E78913851E3F43515D25039DD4BDDBC3E,reports/scale/g11_targeted_visual_diagnostic/18_CUMCM-2011-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/18_CUMCM-2011-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
18,CUMCM-2011-A-001,2011,A,15,B,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（7）.pdf,3D58DB4E99A3E3202142EB77E537132421D37B81F6636360331B0A7D19E17F0E,derived/scale/papers/CUMCM-2011-A-001/paper.md,7CBE95CD215BF4DBF1145D77C8F5E68E78913851E3F43515D25039DD4BDDBC3E,reports/scale/g11_targeted_visual_diagnostic/18_CUMCM-2011-A-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/18_CUMCM-2011-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
19,CUMCM-2013-A-001,2013,A,12,A,2013年数学建模国赛真题+优秀论文/2013A：车道被占用对城市道路通行能力的影响 (5)/基于差分方程和元胞自动机的交通阻塞模型.pdf,89F1BC8CE60F82D85A723CDA3435920801F4D7292E2571649256A42F84046132,derived/scale/papers/CUMCM-2013-A-001/paper.md,938F0ACD508FAA30697563EE082CC8EFF2496DBA9834B219CA6519AB720EA181,reports/scale/g11_targeted_visual_diagnostic/19_CUMCM-2013-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/19_CUMCM-2013-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
19,CUMCM-2013-A-001,2013,A,18,B,2013年数学建模国赛真题+优秀论文/2013A：车道被占用对城市道路通行能力的影响 (5)/基于差分方程和元胞自动机的交通阻塞模型.pdf,89F1BC8CE60F82D85A723CDA3435920801F4D7292E2571649256A42F84046132,derived/scale/papers/CUMCM-2013-A-001/paper.md,938F0ACD508FAA30697563EE082CC8EFF2496DBA9834B219CA6519AB720EA181,reports/scale/g11_targeted_visual_diagnostic/19_CUMCM-2013-A-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/19_CUMCM-2013-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
19,CUMCM-2013-A-001,2013,A,45,C,2013年数学建模国赛真题+优秀论文/2013A：车道被占用对城市道路通行能力的影响 (5)/基于差分方程和元胞自动机的交通阻塞模型.pdf,89F1BC8CE60F82D85A723CDA3435920801F4D7292E2571649256A42F84046132,derived/scale/papers/CUMCM-2013-A-001/paper.md,938F0ACD508FAA30697563EE082CC8EFF2496DBA9834B219CA6519AB720EA181,reports/scale/g11_targeted_visual_diagnostic/19_CUMCM-2013-A-001/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/19_CUMCM-2013-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
20,CUMCM-2014-A-A1501,2014,A,11,A,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (5)/A15010142_王子硕_吴鹏飞_陶立.pdf,CA6C94BB50E5B0D982A7D54F154AB68A8E5465BB3858D1274356BFD5381FD2CC,derived/scale/papers/CUMCM-2014-A-A1501/paper.md,4D15A604013AE9D54AAB97D156EBBF597455456A96A2AEA2F9915605BD9AE96F,reports/scale/g11_targeted_visual_diagnostic/20_CUMCM-2014-A-A1501/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/20_CUMCM-2014-A-A1501/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
20,CUMCM-2014-A-A1501,2014,A,32,B,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (5)/A15010142_王子硕_吴鹏飞_陶立.pdf,CA6C94BB50E5B0D982A7D54F154AB68A8E5465BB3858D1274356BFD5381FD2CC,derived/scale/papers/CUMCM-2014-A-A1501/paper.md,4D15A604013AE9D54AAB97D156EBBF597455456A96A2AEA2F9915605BD9AE96F,reports/scale/g11_targeted_visual_diagnostic/20_CUMCM-2014-A-A1501/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/20_CUMCM-2014-A-A1501/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
